Country,Population_30_June_2025,Currently_Recruiting_Trials,Recruiting_Site_Records,Trials_per_Million,Site_Records_per_Million
Australia,27614411,87,363,3.15,13.15
New Zealand,5324700,8,14,1.5,2.63
