,Currently_Recruiting_Trials,Recruiting_Site_Records,Unique_Facility_Names,Unique_Cities,State_or_Regions,Mean_Sites_per_Trial,Median_Sites_per_Trial
Australia,87,363,216,89,6,4.17,3.0
New Zealand,8,14,13,7,6,1.75,2.0
